MBI_AE	MBI_DP	MBI_RP	UWES_Vigor	UWES_Dedicacion	UWES_Absorcion	UWES_Engagement_Total	NS_Tareas_Criticas	NS_Exposicion_Pantallas	NS_Calidad_Sueno	NS_Pausas_Activas	NS_Entorno_Laboral
0.1667	0.1	0.9062	1.0	1.0	0.6117	0.87					
0.3333	0.0	0.9062	0.6117	0.8883	0.2783	0.5933					
0.9167	0.5	0.5312	0.0	0.0	0.6667	0.2217					
0.5556	0.2	0.7812	0.8883	0.945	0.8883	0.9067					
0.6389	0.4	0.625	0.445	0.6667	0.6667	0.5933					
0.2778	0.55	0.875	1.0	1.0	0.8333	0.945					
0.5278	0.4	0.4062	0.0	0.3333	0.3333	0.2217					
0.0833	0.0	0.9375	1.0	1.0	1.0	1.0					
0.6111	0.8	0.2188	0.2783	0.0	0.0	0.0933					
0.6111	0.55	0.4688	0.2783	0.3333	0.3333	0.315					
0.6944	0.35	0.7188	0.3883	0.6117	0.6117	0.5367					
0.5278	0.6	0.75	0.7783	0.7783	0.8333	0.7967					
0.8889	0.8	0.75	0.5	0.7783	0.7783	0.685					
0.5833	0.5	0.625	1.0	1.0	1.0	1.0					
0.2222	0.15	0.875	0.6117	0.7783	0.555	0.6483					
0.4444	0.05	0.875	0.6117	0.7217	0.6667	0.6667					
0.6667	0.55	0.75	0.7783	1.0	0.7783	0.8517					
0.3889	0.35	0.6562	0.555	0.1117	0.6117	0.4267					
0.3611	0.55	0.8125	0.945	1.0	0.945	0.9633					
0.0278	0.0	1.0	1.0	1.0	0.6667	0.8883					
0.1389	0.15	0.75	0.5	0.555	0.3333	0.4633					
0.4722	0.35	0.8438	1.0	0.8883	0.945	0.945					
0.5556	0.3	0.8125	0.8883	0.8333	1.0	0.9067					
0.6389	0.5	0.625	0.7217	0.6117	0.6117	0.6483					
0.25	0.15	0.5938	0.8333	0.6117	0.6117	0.685					
0.4167	0.4	0.7188	0.8883	0.945	0.945	0.9267					
0.7222	0.75	0.7812	0.555	0.5	0.5	0.5183					
0.8056	0.35	0.8438	0.5	0.8883	0.6667	0.685					
0.4722	0.2	0.875	1.0	1.0	0.8883	0.9633					
0.9444	0.75	0.625	0.3883	0.6667	0.945	0.6667					
0.4722	0.5	0.4688	0.5	0.5	0.5	0.5					
0.3889	0.15	0.9688	0.945	1.0	0.8883	0.945					
0.2222	0.15	0.8125	0.8333	0.8883	0.8333	0.8517					
0.8611	0.5	0.625	0.3883	0.445	0.6667	0.5					
0.5556	0.2	0.875	0.7217	0.5	0.7783	0.6667					
0.3611	0.25	0.6562	0.6667	0.7217	0.5	0.63					
0.5833	0.15	0.6875	0.6667	1.0	0.1667	0.6117					
0.5278	0.15	0.8438	0.945	1.0	0.7217	0.8883					
0.6667	0.6	0.7812	0.5	0.1667	0.5	0.3883					
0.1944	0.0	0.9688	0.945	1.0	0.945	0.9633					
0.5833	0.4	0.5312	0.7217	0.8333	0.945	0.8333					
0.7778	0.3	0.5	0.3883	0.5	0.6117	0.5					
0.6389	0.25	0.7812	0.3333	0.6117	0.555	0.5					
0.8056	0.45	0.5938	0.2783	0.6667	0.6667	0.5367					
0.4444	0.15	0.8438	0.7783	0.945	0.6667	0.7967					
0.7222	0.35	0.75	0.8333	0.8883	0.7783	0.8333					
0.8889	0.1	0.7812	0.555	0.445	0.3333	0.445					
0.5278	0.3	0.9062	0.555	0.8883	0.945	0.7967					
0.6944	0.3	0.7188	0.7217	0.8883	0.945	0.8517					
0.5833	0.2	0.875	0.8883	1.0	0.6117	0.8333					
0.7778	0.7	0.5312	0.5	0.7217	0.6117	0.6117					
0.4167	0.15	0.6875	0.8333	0.8883	0.3333	0.685					
0.8333	0.6	0.4375	0.5	0.5	0.8333	0.6117					
0.2222	0.0	0.6875	0.8883	1.0	0.8333	0.9067					
