MBI_AE	MBI_DP	MBI_RP	UWES_Vigor	UWES_Dedicacion	UWES_Absorcion	UWES_Engagement_Total	NS_Tareas_Criticas	NS_Exposicion_Pantallas	NS_Calidad_Sueno	NS_Pausas_Activas	NS_Entorno_Laboral
Bajo	Bajo	Alto	Muy alto	Muy alto	Medio	5.22					
Bajo	Bajo	Alto	Medio	Alto	Muy bajo	3.56					
Alto	Alto	Bajo	Muy bajo	Muy bajo	Medio	1.33					
Alto	Medio	Medio	Alto	Alto	Alto	5.44					
Alto	Alto	Bajo	Bajo	Medio	Medio	3.56					
Bajo	Alto	Alto	Muy alto	Muy alto	Alto	5.67					
Alto	Alto	Bajo	Muy bajo	Bajo	Bajo	1.33					
Bajo	Bajo	Alto	Muy alto	Muy alto	Muy alto	6.0					
Alto	Alto	Bajo	Muy bajo	Muy bajo	Muy bajo	0.56					
Alto	Alto	Bajo	Muy bajo	Bajo	Bajo	1.89					
Alto	Alto	Medio	Bajo	Medio	Medio	3.22					
Alto	Alto	Medio	Medio	Medio	Alto	4.78					
Alto	Alto	Medio	Bajo	Medio	Alto	4.11					
Alto	Alto	Bajo	Muy alto	Muy alto	Muy alto	6.0					
Bajo	Bajo	Alto	Medio	Medio	Medio	3.89					
Medio	Bajo	Alto	Medio	Medio	Medio	4.0					
Alto	Alto	Medio	Medio	Muy alto	Alto	5.11					
Medio	Alto	Bajo	Medio	Muy bajo	Medio	2.56					
Medio	Alto	Medio	Muy alto	Muy alto	Muy alto	5.78					
Bajo	Bajo	Alto	Muy alto	Muy alto	Medio	5.33					
Bajo	Bajo	Medio	Bajo	Medio	Bajo	2.78					
Medio	Alto	Alto	Muy alto	Alto	Muy alto	5.67					
Alto	Medio	Medio	Alto	Alto	Muy alto	5.44					
Alto	Alto	Bajo	Medio	Medio	Medio	3.89					
Bajo	Bajo	Bajo	Alto	Medio	Medio	4.11					
Medio	Alto	Medio	Alto	Alto	Muy alto	5.56					
Alto	Alto	Medio	Medio	Medio	Medio	3.11					
Alto	Alto	Alto	Bajo	Alto	Medio	4.11					
Medio	Medio	Alto	Muy alto	Muy alto	Alto	5.78					
Alto	Alto	Bajo	Bajo	Medio	Muy alto	4.0					
Medio	Alto	Bajo	Bajo	Medio	Medio	3.0					
Medio	Bajo	Alto	Muy alto	Muy alto	Alto	5.67					
Bajo	Bajo	Medio	Alto	Alto	Alto	5.11					
Alto	Alto	Bajo	Bajo	Bajo	Medio	3.0					
Alto	Medio	Alto	Medio	Medio	Alto	4.0					
Medio	Medio	Bajo	Medio	Medio	Medio	3.78					
Alto	Bajo	Bajo	Medio	Muy alto	Muy bajo	3.67					
Alto	Bajo	Alto	Muy alto	Muy alto	Alto	5.33					
Alto	Alto	Medio	Bajo	Muy bajo	Medio	2.33					
Bajo	Bajo	Alto	Muy alto	Muy alto	Muy alto	5.78					
Alto	Alto	Bajo	Medio	Alto	Muy alto	5.0					
Alto	Medio	Bajo	Bajo	Medio	Medio	3.0					
Alto	Medio	Medio	Muy bajo	Medio	Medio	3.0					
Alto	Alto	Bajo	Muy bajo	Medio	Medio	3.22					
Medio	Bajo	Alto	Medio	Alto	Medio	4.78					
Alto	Alto	Medio	Alto	Alto	Alto	5.0					
Alto	Bajo	Medio	Medio	Bajo	Bajo	2.67					
Alto	Medio	Alto	Medio	Alto	Muy alto	4.78					
Alto	Medio	Medio	Medio	Alto	Muy alto	5.11					
Alto	Medio	Alto	Alto	Muy alto	Medio	5.0					
Alto	Alto	Bajo	Bajo	Medio	Medio	3.67					
Medio	Bajo	Bajo	Alto	Alto	Bajo	4.11					
Alto	Alto	Bajo	Bajo	Medio	Alto	3.67					
Bajo	Bajo	Bajo	Alto	Muy alto	Alto	5.44					
